ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
67.205.101.81,,CA,Montreal,,,false,1.00,2018-04-05T15:46:18Z,2015-01-05T23:42:54Z
94.230.146.117,mail.coreproduction.cz.,CZ,Prague,Microsoft DNS 6.0.6002 (17724D35),,false,1.00,2018-04-05T15:46:18Z,2015-01-05T23:42:54Z
119.68.184.226,,KR,,,,false,0.97,2018-04-05T15:46:28Z,2015-01-05T23:44:10Z
173.201.176.53,ip-173-201-176-53.ip.secureserver.net.,US,Scottsdale,,,false,1.00,2018-04-05T15:46:22Z,2015-01-05T23:45:25Z
183.179.147.14,183179147014.ctinets.com.,HK,Central,dnsmasq-2.40,,true,0.93,2018-04-05T15:46:19Z,2015-01-05T23:46:17Z
164.42.183.3,,PR,,Microsoft DNS 6.0.6002 (17724D35),,false,1.00,2018-04-05T15:46:22Z,2015-01-05T23:46:26Z
84.242.134.213,www.vesko.net.,BG,Sofia,dnsmasq-2.49,,false,1.00,2018-04-05T15:46:19Z,2015-01-05T23:48:09Z
200.196.56.38,mvx-200-196-56-38.mundivox.com.,BR,Rio de Janeiro,dnsmasq-2.76,,false,0.93,2018-04-05T15:46:20Z,2015-01-05T23:48:58Z
183.78.169.111,mail1.dtec.com.my.,MY,Damansara,Microsoft DNS 6.0.6002 (17724D35),,false,1.00,2018-04-05T15:46:20Z,2015-01-05T23:50:36Z
46.10.157.122,46-10-157-122.ip.btc-net.bg.,BG,,,,false,0.97,2018-04-05T15:46:19Z,2015-01-05T23:51:55Z
183.78.169.115,,MY,Damansara,,,false,0.97,2018-04-05T15:46:22Z,2015-01-05T23:52:30Z
183.107.156.100,,KR,Daejeon,dnsmasq-2.38,,false,0.97,2018-04-05T15:46:20Z,2015-01-05T23:53:22Z
203.251.81.38,,KR,,,,false,0.97,2018-04-05T15:46:22Z,2015-01-05T23:53:51Z
183.81.169.102,ns.homenet.mn.,MN,Sühbaatar,9.10.3-P4-Ubuntu,,false,1.00,2018-04-05T15:46:21Z,2015-01-05T23:53:54Z
119.171.234.157,119-171-234-157.rev.home.ne.jp.,JP,Suzaka,,,false,0.97,2018-04-05T15:46:22Z,2015-01-05T23:54:26Z
190.60.245.172,172.245.60.190.static.host.ifxnetworks.com.,CO,Bogotá,,,false,1.00,2018-04-05T15:46:21Z,2015-01-05T23:55:03Z
84.3.99.72,54036348.catv.pool.telekom.hu.,HU,Visegrád,,,false,1.00,2018-04-05T15:46:20Z,2015-01-05T23:57:05Z
109.168.53.186,186.53.168.109.dsl.static.ip.kpnqwest.it.,IT,,PowerDNS Recursor 4.1.2 (built Mar 29 2018 13:10:45 by buildbot@1d8ee045aefd),,false,0.97,2018-04-05T15:46:23Z,2015-01-05T23:57:17Z
64.182.71.23,wall-e.orange-hat.com.,US,Dallas,,,false,1.00,2018-04-05T15:46:21Z,2015-01-05T23:58:26Z
116.122.24.94,,KR,,,,false,1.00,2018-04-05T15:46:25Z,2015-01-05T23:59:51Z
210.151.183.139,FLH9Aaa011.tcg.mesh.ad.jp.,JP,Tokyo,,,false,1.00,2018-04-05T15:46:23Z,2015-01-05T23:59:55Z
211.193.198.138,,KR,Seoul,,,false,0.97,2018-04-05T15:46:26Z,2015-01-06T00:00:24Z
211.72.199.76,211-72-199-76.HINET-IP.hinet.net.,TW,,dnsmasq-2.48,,false,1.00,2018-04-05T15:46:23Z,2015-01-06T00:04:14Z
211.221.26.34,,KR,Yangju,dnsmasq-2.38,,false,1.00,2018-04-05T15:46:22Z,2015-01-06T00:04:34Z
190.196.157.230,,CL,Santiago,,,true,0.97,2018-04-05T15:46:22Z,2015-01-06T00:04:44Z
64.17.101.40,diamondback.bvtsvc.com.,US,Bellows Falls,,,false,1.00,2018-04-05T15:46:21Z,2015-01-06T00:04:55Z
195.3.169.67,bodice.sk.,SK,Liptovský Mikuláš,,,false,1.00,2018-04-05T15:46:20Z,2015-01-06T00:06:16Z
222.116.2.233,,KR,Jeju City,dnsmasq-2.38,,false,1.00,2018-04-05T15:46:23Z,2015-01-06T00:06:34Z
91.202.140.66,mx.kora-kem.ru.,RU,Kemerovo,,,false,0.97,2018-04-05T15:46:22Z,2015-01-06T00:07:12Z
103.253.109.147,,MY,Pandan,Microsoft DNS 6.0.6002 (17724D35),,false,1.00,2018-04-05T15:46:23Z,2015-01-06T00:07:30Z
210.154.184.2,p71002-ipbffx02marunouchi.tokyo.ocn.ne.jp.,JP,Tokyo,,,false,1.00,2018-04-05T15:46:23Z,2015-01-06T00:08:02Z
212.178.67.170,D4B243AA.static.ziggozakelijk.nl.,NL,Enschede,Microsoft DNS 6.1.7600 (1DB04228),,false,1.00,2018-04-05T15:46:21Z,2015-01-06T00:08:11Z
88.119.192.147,88-119-192-147.static.zebra.lt.,LT,Vilnius,,,false,1.00,2018-04-05T15:46:21Z,2015-01-06T00:09:00Z
201.44.177.131,,BR,Curitiba,dnsmasq-2.47,,true,1.00,2018-04-05T15:46:23Z,2015-01-06T00:09:40Z
194.247.25.21,,RU,Salym,,,false,1.00,2018-04-05T15:46:22Z,2015-01-06T00:11:21Z
208.69.236.23,ad01.dc.ksbroadband.net.,US,Manhattan,,,false,1.00,2018-04-05T15:46:22Z,2015-01-06T00:11:35Z
24.222.12.125,blk-222-12-125.eastlink.ca.,CA,Gaspereau,Microsoft DNS 6.1.7601 (1DB15D39),,false,1.00,2018-04-05T15:46:22Z,2015-01-06T00:12:23Z
60.248.188.132,60-248-188-132.HINET-IP.hinet.net.,TW,Zhubei,dnsmasq-2.48,,false,1.00,2018-04-05T15:46:24Z,2015-01-06T00:14:28Z
212.145.137.210,static-210-137-145-212.ipcom.comunitel.net.,ES,Pamplona,,,false,1.00,2018-04-05T15:46:22Z,2015-01-06T00:15:37Z
89.202.249.120,,GB,Reigate,,,false,1.00,2018-04-05T15:46:23Z,2015-01-06T00:15:50Z
60.249.236.211,60-249-236-211.HINET-IP.hinet.net.,TW,Taichung,,,false,1.00,2018-04-05T15:46:26Z,2015-01-06T00:18:21Z
78.135.99.129,axbilisim.com.tr.,TR,,,,false,1.00,2018-04-05T15:46:23Z,2015-01-06T00:18:56Z
86.108.13.61,mail.jocom.jo.,JO,Amman,dnsmasq-2.40,,false,1.00,2018-04-05T15:46:24Z,2015-01-06T00:19:50Z
212.67.196.161,server6705.dedicated.webfusion.co.uk.,GB,,,,false,1.00,2018-04-05T15:46:22Z,2015-01-06T00:20:23Z
78.135.99.193,axbilisim.com.tr.,TR,,,,false,1.00,2018-04-05T15:46:23Z,2015-01-06T00:20:54Z
203.66.178.169,203-66-178-169.HINET-IP.hinet.net.,TW,Tainan City,dnsmasq-2.48,,false,1.00,2018-04-05T15:46:25Z,2015-01-06T00:20:56Z
201.39.214.142,,BR,,,,false,1.00,2018-04-05T15:46:24Z,2015-01-06T00:24:13Z
218.230.246.193,ns1.hido.or.jp.,JP,Okayama,,,false,1.00,2018-04-05T15:46:26Z,2015-01-06T00:25:50Z
109.173.96.91,broadband-109-173-96-91.moscow.rt.ru.,RU,Moscow,dnsmasq-2.40,,false,0.97,2018-04-05T15:46:23Z,2015-01-06T00:25:56Z
211.170.243.20,,KR,,Microsoft DNS 6.1.7601 (1DB1446A),,false,1.00,2018-04-05T15:46:25Z,2015-01-06T00:27:12Z
64.17.101.92,ns2.bvtsvc.com.,US,Bellows Falls,,,false,1.00,2018-04-05T15:46:24Z,2015-01-06T00:27:35Z
121.176.43.133,,KR,Busan,dnsmasq-2.38,,false,0.97,2018-04-05T15:46:25Z,2015-01-06T00:27:36Z
211.194.140.3,mail.intranet.k3i.co.kr.,KR,Daegu,Microsoft DNS 6.1.7601 (1DB15D39),,false,0.97,2018-04-05T15:46:26Z,2015-01-06T00:27:46Z
211.54.35.120,,KR,Seoul,,,false,1.00,2018-04-05T15:46:26Z,2015-01-06T00:29:54Z
190.104.232.61,static.61.232.104.190.cps.com.ar.,AR,Buenos Aires,,,false,1.00,2018-04-05T15:46:24Z,2015-01-06T00:33:13Z
122.1.98.18,,JP,Tokyo,,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T00:34:39Z
222.239.221.250,,KR,Jeonju,,,false,0.97,2018-04-05T15:46:32Z,2015-01-06T00:34:50Z
31.210.54.3,amail.birikionline.com.,TR,,Microsoft DNS 6.1.7601 (1DB1446A),,false,0.86,2018-04-05T15:46:25Z,2015-01-06T00:36:43Z
203.138.232.146,,JP,,8.2.2-P5,,false,1.00,2018-04-05T15:46:25Z,2015-01-06T00:39:40Z
190.86.181.158,158.190.86.181.static.claro.com.sv.,SV,San Salvador,dnsmasq-2.52,,false,0.97,2018-04-05T15:46:24Z,2015-01-06T00:40:56Z
174.46.174.144,tecmidwest.mcservices.com.,US,Pewaukee,Microsoft DNS 6.0.6002 (17724D35),,false,1.00,2018-04-05T15:46:25Z,2015-01-06T00:40:58Z
196.217.241.107,adsl196-107-241-217-196.adsl196-16.iam.net.ma.,MA,,,,false,1.00,2018-04-05T15:46:27Z,2015-01-06T00:40:59Z
2.228.44.138,2-228-44-138.ip189.fastwebnet.it.,IT,Avezzano,ZyWALL DNS,,false,1.00,2018-04-05T15:46:24Z,2015-01-06T00:42:11Z
195.226.187.230,worldmail.arsmedium.de.,DE,,,,false,1.00,2018-04-05T15:46:24Z,2015-01-06T00:44:22Z
213.23.195.171,nsi.mauersberger.org.,DE,Weinheim,,,false,1.00,2018-04-05T15:46:25Z,2015-01-06T00:45:43Z
193.17.211.33,ns1.martinservera.se.,SE,Farsta strand,,,false,1.00,2018-04-05T15:46:28Z,2015-01-06T00:46:13Z
173.11.40.177,173-11-40-177-Minnesota.hfc.comcastbusiness.net.,US,,,,false,1.00,2018-04-05T15:46:25Z,2015-01-06T00:47:16Z
61.120.9.219,ns2.usui.co.jp.,JP,Yokohama,,,false,1.00,2018-04-05T15:46:28Z,2015-01-06T00:47:17Z
144.135.138.84,mail.audioxtra.com.au.,AU,Belmont,Microsoft DNS 6.0.6002 (17724D35),,false,1.00,2018-04-05T15:46:27Z,2015-01-06T00:47:46Z
190.86.181.230,230.190.86.181.static.claro.com.sv.,SV,San Salvador,dnsmasq-2.52,,false,1.00,2018-04-05T15:46:26Z,2015-01-06T00:49:17Z
